wl,n
6.5798,9.35E-03
6.6134,1.51E-02
6.6473,2.00E-02
6.6816,1.39E-02
6.7162,1.08E-02
6.7512,1.84E-02
6.7865,2.74E-02
6.8223,3.28E-02
6.8583,3.77E-02
6.8948,3.94E-02
6.9317,3.49E-02
6.9690,2.68E-02
7.0066,2.10E-02
7.0447,4.19E-02
7.0832,8.42E-02
7.1221,8.53E-02
7.1615,5.31E-02
7.2013,4.09E-02
7.2415,5.56E-02
7.2822,6.73E-02
7.3233,5.19E-02
7.3649,3.03E-02
7.4070,2.91E-02
7.4496,3.81E-02
7.4926,4.06E-02
7.5362,4.41E-02
7.5803,6.35E-02
7.6249,1.01E-01
7.6700,1.75E-01
7.7156,2.91E-01
7.7618,4.04E-01
7.8086,4.92E-01
7.8559,5.79E-01
7.9038,6.29E-01
7.9523,5.82E-01
8.0014,4.95E-01
8.0511,3.71E-01
8.1014,1.97E-01
8.1524,8.03E-02
8.2040,4.17E-02
8.2562,2.95E-02
8.3091,2.28E-02
8.3628,1.93E-02
8.4171,2.06E-02
8.4721,2.87E-02
8.5278,3.37E-02
8.5843,3.11E-02
8.6415,3.65E-02
8.6995,6.52E-02
8.7583,1.16E-01
8.8179,1.91E-01
8.8783,2.86E-01
8.9395,3.42E-01
9.0016,3.70E-01
9.0645,4.08E-01
9.1284,3.57E-01
9.1931,2.14E-01
9.2588,1.03E-01
9.3254,4.90E-02
9.3930,3.31E-02
9.4615,3.92E-02
9.5311,5.35E-02
9.6017,6.18E-02
9.6733,6.35E-02
9.7461,9.20E-02
9.8199,1.14E-01
9.8949,6.95E-02
9.9710,2.25E-02
10.048,1.85E-02
10.127,2.88E-02
10.207,3.95E-02
10.288,3.99E-02
10.370,3.06E-02
10.453,2.16E-02
10.538,1.69E-02
10.625,1.59E-02
10.713,1.57E-02
10.802,1.49E-02
10.893,1.54E-02
10.985,2.09E-02
11.079,3.00E-02
11.174,3.57E-02
11.272,4.37E-02
11.370,6.12E-02
11.471,6.31E-02
11.573,4.13E-02
11.678,2.76E-02
11.784,2.77E-02
11.892,2.67E-02
12.002,2.38E-02
12.114,2.17E-02
